OrderDate,Mainland_China_Anhui,Mainland_China_Beijing,Mainland_China_Chongqing,Mainland_China_Fujian,Mainland_China_Gansu,Mainland_China_Guangdong,Mainland_China_Guangxi,Mainland_China_Guizhou,Mainland_China_Hainan,Mainland_China_Hebei,Mainland_China_Heilongjiang,Mainland_China_Henan,Mainland_China_Hubei,Mainland_China_Hunan,Mainland_China_Inner_Mongolia,Mainland_China_Jiangsu,Mainland_China_Jiangxi,Mainland_China_Jilin,Mainland_China_Liaoning,Mainland_China_Ningxia,Mainland_China_Qinghai,Mainland_China_Shaanxi,Mainland_China_Shandong,Mainland_China_Shanghai,Mainland_China_Shanxi,Mainland_China_Sichuan,Mainland_China_Tianjin,Mainland_China_Tibet,Mainland_China_Xinjiang,Mainland_China_Yunnan,Mainland_China_Zhejiang,Thailand_nan,Japan_nan,South_Korea_nan,Taiwan_Taiwan,US_Seattle__WA,US_Chicago__IL,US_Tempe__AZ,Macau_Macau,Hong_Kong_Hong_Kong,Singapore_nan,Vietnam_nan,France_nan,Nepal_nan,Malaysia_nan,Canada_Toronto__ON,Canada_British_Columbia,US_Orange__CA,US_Los_Angeles__CA,Australia_New_South_Wales,Australia_Victoria,Australia_Queensland,Cambodia_nan,Sri_Lanka_nan,Germany_nan,Finland_nan,United_Arab_Emirates_nan,Philippines_nan,India_nan,Canada_London__ON,Italy_nan,UK_nan,Russia_nan,Sweden_nan,US_Santa_Clara__CA,Spain_nan,Australia_South_Australia,US_Boston__MA,US_San_Benito__CA,Belgium_nan,US_Madison__WI,Others_Diamond_Princess_cruise_ship,US_San_Diego_County__CA,US_San_Antonio__TX,Egypt_nan,China_total
2020-02-17,172.6387260416659,77.81492203251712,138.73422335308382,61.715873411238704,36.72030325110179,323.7337158624143,37.97896318195195,28.34408963257868,35.53985803491139,73.51250651430837,45.00262478866724,306.02855910394663,4159.380734508926,355.1642531848732,7.217112094096683,146.81266901775945,176.25104770720858,22.5818771960934,25.740930610559108,24.234599611273364,9.465855432051693,48.948985637615365,121.27798145359044,89.15556340423929,40.68213873613263,111.53347322072779,23.665816377046042,0.6707016529821387,5.5979134105544786,33.042135350442166,380.49368905046384,12.909059309851493,8.594363803427196,6.742188564512719,1.6447242833336253,0.9999689370276292,1.962907490296933,1.154981592512465e-10,2.694539800471063,0.8563834148464692,12.535868574026724,5.6677592632710505,2.004449565165351,0.6804995524545521,3.7458175455797087,-1.9457531783371706e-10,-1.0764610109863488e-13,1.6856922821609415e-10,-6.893355268851015e-11,3.7379009543098873,2.3456550760956856,-1.2009755682979362e-12,0.6523172913061938,1.0780911087166896,0.5307667835048147,0.6992944466667511,1.4209213153392937,0.6932080227192884,0.40458229275834573,0.6924195544492275,-7.96401675723379e-11,0.12000202899181417,1.2846929816879913,3.309143899380534e-11,2.7017641826005946e-10,0.5302340651837361,-7.857349159090685e-11,1.0153428923518847e-10,-1.639375151283181e-10,-9.089089554697088e-11,-3.101620395367365e-11,1.3107421335195645e-10,9.421694354893719e-11,-9.437932457095031e-11,7.581064873703683e-11,7023.826532752971
2020-02-18,184.7431526649853,82.52409901917301,140.40873066905806,63.43497041225261,38.48608208355921,339.6388047511046,40.65360586681083,28.744479753969827,36.39035578291687,79.19885061635345,48.01174867281182,329.6913922345818,4371.056598127932,367.6167323394267,7.517674114884123,154.6670229338115,188.08966004947408,23.97288197120487,27.269090496465466,26.083495553231902,9.909987230829556,51.75190045275235,122.12356157482452,94.17469480122918,41.61365325920081,117.76289262981422,25.631099794230302,0.7201138841931898,5.628923299431517,33.83946332670038,395.56473506961396,13.68123899896112,9.377823158766677,6.785907732810575,1.6437925595147402,0.9729820287089881,2.062142471847589,9.592626640638992e-11,2.823100368283097,0.9149845604642408,13.09028718144027,6.043960780835181,1.9820627356820406,0.7196920936868006,4.099693638567478,6.315647215644781e-11,-3.9181525471419255e-11,1.5424084190217127e-10,7.191257662821091e-11,4.005136142150429,2.3022280653384213,-2.4013372190389452e-11,0.7082073421718014,1.131281172781486,0.5570813621014993,0.7486760401433566,1.5228412338825696,0.7332018821830977,0.421086604217844,0.6850766529014912,-1.9849480929097082e-10,-0.1605083545813632,1.4231915976341447,9.273646992050666e-11,1.1629113396897953e-10,0.5997101514667018,-1.0991339258298422e-10,2.2293832005800717e-10,-2.6752584006718342e-11,1.1700077854468373e-10,-2.4631304921522377e-11,-4.513875848718504e-12,3.95032522158585e-11,-1.9019813791821667e-11,9.66440364555911e-11,7326.538008545262
2020-02-19,183.14646299063145,85.70884210952697,151.84630968315386,68.76975573116549,42.042540872157325,353.4061632750714,42.03822573661255,29.736819149089175,38.48725395982325,82.30004773028828,51.80950580811947,335.75177034544527,4607.764418835664,377.0940120467373,7.973179726097575,161.29715071672646,186.40225919278427,25.088792761520843,27.8338870597835,28.250249990721958,10.852128904173671,57.083336846290514,131.35155887923025,100.00996635600524,42.99304601351629,123.0879407664708,24.79841047273282,0.7255288459710918,6.099154029103723,36.65542747646473,421.4579995061301,14.499854993272656,9.202179489779558,7.122013650757898,1.813412861901344,1.0974465437217789,2.127638423488308,8.635472928312813e-12,2.9731659518672853,0.9099113481674767,14.476843071720129,6.42985643705491,2.2465268268224876,0.8129360613200791,4.421363822201227,-8.246877097584614e-11,-1.8822765807895593e-10,3.726669891881551e-10,1.2077084494581642e-10,4.123332342460199,2.5393333731562677,2.896524698288594e-10,0.729174352248311,1.149648105481366,0.5921425312103021,0.7464168500926407,1.6182826940894843,0.7470888160244025,0.3790975490682766,0.7770226303450937,-1.899897054810296e-10,0.16186207640362904,1.5180262495464891,-4.538355579765934e-12,1.8647661679609932e-11,0.6356059475304177,-3.39885262503425e-11,1.8770052104179678e-10,-4.723897351572057e-11,5.951617193707932e-11,1.5550821899599386e-10,5.266736990522582e-11,2.655359628667583e-10,5.354017094773668e-11,-1.838727561516523e-11,7604.500595847635
2020-02-20,196.7921006043954,91.7853606369434,153.25385379795594,72.00365469475408,42.21043688573572,381.5531456775869,43.2127575603718,31.452674476536366,40.68630627514389,84.7256340334684,52.84273913238004,360.8238413260647,4941.899233990722,403.72074173130227,8.347881145972742,175.15169293511414,201.31040888662167,27.60703792724319,30.37926925497088,28.534940001776896,11.057760245824555,58.9774569317807,139.55277013681766,104.91875609915915,45.58444033393261,131.44718717386542,26.433949052411418,0.7819114596642417,6.2772428389650905,36.52832651099964,436.66580541968295,14.737257524782711,9.757893624326869,7.484706634154938,1.8435691775060123,1.126882229719019,2.2624819761622508,1.6580603498177028e-11,3.0665903241745434,0.9485721860101498,15.637225385215071,6.382076918349776,2.3097771366614337,0.792651200483726,4.303336758233403,2.4499730256916717e-11,-4.105487233351254e-11,6.864925561823768e-10,2.377960255631118e-10,4.300843011206336,2.5968040540379214,3.0818086296485884e-10,0.8016068488382139,1.2069187395926022,0.6099762850966867,0.7680523464789721,1.6660214473554,0.8101695164411258,0.5326414743532464,0.787720880450374,-1.1211995091203489e-10,0.1994900471637078,1.5987724051746424,-9.088078950604986e-11,-1.6331690077771486e-11,0.581110601110477,7.148989046295173e-11,2.4544998573200666e-10,-1.8319966819886266e-10,9.139298933136957e-11,1.575144027783971e-10,-3.012334780126594e-11,4.18808364444675e-10,-3.9038642748526367e-11,-2.634520981628653e-10,7784.656983196316
2020-02-21,208.89236026704197,94.93639659204874,161.20862376718588,75.07040744907476,43.93955492376359,391.0255550726453,46.58310581884225,34.16828462400694,40.73011713780111,89.08013178464405,53.8845606895982,369.63641726463925,4980.694448449299,428.16276948795263,8.683661493854558,179.62931637198872,208.5424644810047,27.170220480141953,30.595927676336565,30.60172014423586,11.783611108244889,61.913212333897306,144.00280169914117,105.89945749128945,47.32993764290889,134.11586653761435,28.245512573076965,0.7787784817551627,6.586603381805556,38.72038295099002,452.3253839530582,15.242691153363758,10.623111600386656,7.714599105004511,1.927654261997323,1.175487943102037,2.279662127754312,-4.393588567872243e-10,3.1880611334673,0.9516943237367106,14.970013251555272,7.077226628538091,2.4206976576168864,0.786384712726513,4.313340401843725,1.6658629404138486e-10,-7.330041232599418e-11,1.1005529920357922e-09,2.797671317827275e-10,4.409005409371054,2.558595608313066,4.1235629386209225e-10,0.8768871103992106,1.2851017524778887,0.7009561098489299,0.8163663414437649,1.9707954996183912,0.8247008855164537,0.5603684864666918,0.783004761957108,-2.2467156604294641e-10,-0.15729186182015695,1.5836124356878056,-1.7807940630104513e-11,5.626682126941257e-11,0.7075057857322726,1.0720235691562705e-10,3.275981907580364e-10,-2.7668454379966255e-10,1.9735064645855987e-10,3.7090227406002936e-10,3.5509196172780985e-11,4.1737439658957537e-10,1.3228755058411882e-10,-1.308755347103556e-10,8245.56725501504
2020-02-22,214.73121748332488,97.28477359773632,164.71488402668328,74.39619421618004,46.86638487529267,415.4838777820642,47.56332010292206,35.34190893211106,44.058719490632775,95.87871297294838,59.459091449483125,398.8713710939962,5220.732764436459,446.7735165235788,9.082708780482413,185.13199003097637,219.320752353294,28.445006113661254,33.03947731618397,31.387604106209707,12.372766669007246,60.39055537131852,152.0409924752865,109.72745269054961,48.125732959522665,141.40239146266993,28.72049452990155,0.8757706901761736,6.789596191543847,40.56239821350859,468.9775221220154,15.797193420200202,11.089540500985581,8.239707717491278,2.0593074306976193,1.2139554699892574,2.507348768357651,-4.920119774556885e-10,3.357663628296339,0.9890260886385263,16.296691462237543,7.4596696863396055,2.4605408812243836,0.821833761594468,4.868073319260081,2.5918218677310734e-10,-6.535263892196398e-11,1.52216705258092e-09,3.651508245877049e-10,4.5672471164246655,2.6553503161915146,3.943579847191435e-10,0.8758680541196291,1.3176523428170739,0.6985365032367354,0.8690842883188934,1.9667945565897582,0.8805476388256848,0.5006849857589788,0.8954524772758571,-3.179236255728961e-11,-0.035292931724720235,1.7213745164186967,4.982546998846564e-11,3.7952634257966514e-11,0.7674212299176483,2.5595575007399694e-10,4.3327258041131407e-10,-5.312474271716217e-10,2.347903021386582e-10,5.042068348752991e-10,4.4642490624378943e-10,9.036245751004547e-10,1.787369552372288e-10,-1.1801796147533567e-10,8848.945423989795
2020-02-23,220.70693714408972,102.07127105940336,173.38702324687185,77.82480238335958,47.26559812094596,423.8622559507079,50.06369823416886,35.12766084551432,45.24624717797774,97.9985574250814,59.63876650043182,414.0394441486859,5414.2623568142135,455.204978294385,9.3840054514443,201.1039354463358,223.0970862151713,29.226560421570824,33.92596493481867,33.586438839411905,12.372155669964089,66.28153811608665,156.57282553373872,115.47252667833389,49.753247958855965,143.81630208107399,30.321049534740585,0.8854967944744508,7.398053605926453,42.41295345937565,488.72169220647584,16.02374762825059,11.488836908798735,8.449278012965134,2.05025090875085,1.2419537243952843,2.5258413868484038,-9.54430777898544e-10,3.587001339911705,1.082038949562644,17.040348951753632,7.614809476728981,2.549506954598952,0.9374266533307892,5.196110576489893,-1.4397099614100279e-11,-1.0941633117261888e-10,1.5268778507135942e-09,4.664289650286932e-10,4.775123897929495,2.9217684895431835,2.826215360608097e-10,0.9033587789156856,1.4003397681101148,0.7029094524930602,0.9406556788350546,2.002903900677376,0.9015747672249393,0.589696505949309,0.8623546671150362,3.1334746589632496e-11,0.15018308153087515,1.885607468146715,3.1091570521920994e-10,-2.2205239816388922e-10,0.7616647673150634,2.4954007893847193e-10,7.173372168374278e-10,-3.535052141893534e-10,1.2508217051313363e-10,6.928542366485641e-10,8.203456184810513e-10,1.2230375060901751e-09,2.75906246357665e-10,-6.80632482941959e-11,9181.594379498303
2020-02-24,227.9795896025435,106.36937043156657,185.16580858417478,82.77806729520198,48.61572786698811,431.47043504326183,51.85520828055362,37.798454711377346,46.876127076401325,100.90718400973569,62.799406331923024,419.7681945455428,5537.569255533566,474.0344091211863,9.696360905944864,202.15146630600182,234.14431786445238,30.794233420841728,34.30622565286796,34.08859815482233,13.250326185284598,67.04516791804936,164.61554481752876,120.54344395904614,53.90734620727682,152.47911850944914,30.794141964713997,0.9531387085896594,7.391939563999634,43.41265153529517,509.5938131955355,16.868005547995644,11.954902164955344,8.864836790062125,2.148909056988789,1.30612059030573,2.610565486112715,-1.0755090326403197e-09,3.5816914928499113,1.140396173563939,17.438868791756466,7.734360017102475,2.518495423912039,0.9385648397697686,5.205138799685546,1.3392906193896765e-10,-1.3700017185417616e-10,1.8207180176098134e-09,4.986444517197282e-10,5.007235758776544,2.950333216149423,2.9892361010588283e-10,0.9756569331982705,1.441511246933163,0.7318057015392434,0.939586332911658,2.112974685748326,0.9110275947995369,0.7098336895372127,0.878823603708762,7.123174787532354e-11,-0.12267331903921548,1.889043464067668,3.2812401819725645e-10,-1.2286515108835712e-10,0.7592388871387474,2.8768599285969096e-10,8.418520422168619e-10,-6.692541451198029e-10,1.27183272530312e-10,8.349426626825716e-10,8.380482093049083e-10,1.4959717144777128e-09,1.6923301145121933e-10,1.8324332867346017e-10,9382.297797607125
2020-02-25,238.4053354843266,109.87467544860937,189.94748820721352,85.66300468853795,50.81487483223076,458.12818862651494,53.822894345438684,37.48925980465384,48.781686458425696,104.59181753592904,62.80337371839962,444.79720169130053,5807.895628753485,482.6292895518863,10.1046919842631,204.004570625948,247.9273983440748,31.6743619135625,35.76097285910454,35.098277044956525,13.412111040607138,71.7883056896271,166.24009042316936,125.0907632007853,55.317619622968195,154.18121398079904,31.043518203332685,0.9996008824067752,8.051269482891763,44.79672924118638,532.7112698418154,17.253800576438078,12.294368261513007,9.034972935254991,2.2261953078973575,1.3901227811723915,2.8106413945488216,-1.215100631492687e-09,3.844985752829401,1.1680837533409039,18.842357619390036,8.221356309428275,2.8317800639736537,0.963263572842993,5.58627636463965,-1.242538686238868e-11,-1.713730915726491e-10,1.945861435349523e-09,5.815390409944733e-10,5.142498701670104,3.312196835918505,2.1152275873839232e-10,0.9717090773335835,1.4532704353281292,0.8425388339428459,0.939125551564215,2.253841502288735,0.9623238845118324,0.6489655158155898,0.974905431106287,-2.291320465597403e-10,-0.10257479691185328,1.9218909864814682,4.1101172919719026e-10,-7.737908054855419e-11,0.8531887601841314,2.8864994659855796e-10,7.585615884234689e-10,-7.321303103035562e-10,2.6333580631652724e-10,1.3686588898766336e-09,1.0776322801063677e-09,1.6809595282320323e-09,3.8447171271609033e-10,2.3215048780400655e-10,10133.481030114326
2020-02-26,256.2595304162009,112.50183076035351,190.080370577712,88.26901721445631,53.32236091363394,473.4577992026244,55.46210856769869,41.066359019513676,50.464417261785094,108.42286357243378,67.6918400725072,458.6055936212168,6145.4300502550395,509.05568772946236,10.398675047169707,214.62961271418024,253.54910985767884,33.56536040760389,37.62121978037853,36.843640678745274,14.158915683942872,74.11581379868835,176.91362746300058,131.16132258814216,57.56426969373555,159.87389080268377,33.489711860933355,1.0535785600703982,8.00385928778114,46.87084996978755,545.6492623253042,17.83088953323279,13.129908904627554,9.591271952006876,2.2776079185937625,1.4366651217724322,2.6500298621156033,-1.5678410364629227e-09,3.905508329649902,1.1963856027194153,18.52937114647779,8.722040064395847,2.9952617134122095,1.0146554103942456,5.586210609313219,5.7735072418226115e-11,-3.020527092355978e-10,2.285014004883652e-09,6.535936743379573e-10,5.350665759163662,3.377223409638299,4.742829993076116e-10,1.0601294259947618,1.5418613057154922,0.7855630664022517,1.0296451591887035,2.2275078094954686,1.0212473931566581,0.6385769414280814,0.9932573550816721,-1.3978991135435332e-11,-0.19550712918889368,1.9695665168254899,4.799348030628824e-10,1.293958600466358e-11,0.8999785589927228,3.365050830562997e-11,8.317990417450055e-10,-7.608400824138046e-10,5.09075511924248e-10,1.448564238379877e-09,1.433518890809154e-09,2.1271660052755517e-09,5.115266063260806e-10,2.906848712706084e-10,10412.912263031794
